"","Code","deployment_ID","Length","OpCode","Species","Family","Genus","GRTS_ID","Habitat","Broadscale_habitat","Species_latin","Order","Functional_group","Simplified_functional_group","Commercial_group"
"15",105814,"3239",1632.877,"BEN_3239","Nursehound","Scyliorhinidae","Scyliorhinus",150,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"16",105814,"3011",837.439,"BEN_3011","Nursehound","Scyliorhinidae","Scyliorhinus",261,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"17",105814,"3087",1110.359,"BEN_3087","Nursehound","Scyliorhinidae","Scyliorhinus",82,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"18",105814,"3041",837.212,"BEN_3041","Nursehound","Scyliorhinidae","Scyliorhinus",234,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"19",105814,"3240",939.764,"BEN_3240","Nursehound","Scyliorhinidae","Scyliorhinus",154,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"20",105814,"3242",1168.291,"BEN_3242","Nursehound","Scyliorhinidae","Scyliorhinus",219,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"21",105814,"3109",886.367,"BEN_3109","Nursehound","Scyliorhinidae","Scyliorhinus",87,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"22",105814,"3109",904.402,"BEN_3109","Nursehound","Scyliorhinidae","Scyliorhinus",87,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"23",105814,"3036",748.891,"BEN3036","Nursehound","Scyliorhinidae","Scyliorhinus",286,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"24",105814,"3036",768.425,"BEN3036","Nursehound","Scyliorhinidae","Scyliorhinus",286,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"25",105814,"3011",1092.876,"BEN_3011","Nursehound","Scyliorhinidae","Scyliorhinus",261,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"26",105814,"3204",1000.526,"BEN_3204","Nursehound","Scyliorhinidae","Scyliorhinus",43,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"27",105814,"3188",925.576,"BEN_3188","Nursehound","Scyliorhinidae","Scyliorhinus",204,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"28",105814,"3177",669.933,"BEN_3177","Nursehound","Scyliorhinidae","Scyliorhinus",84,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
