"","GRTS_ID","deployment_ID","Date","Broadscale_habitat","Mixed","Main_habitat","Secondary_habitat","Relief_score","Lat","Lon","TimeIN","TimeOUT","Depth","Temp","Rug_mean","Rug_range","Remoteness","Aspect_mean","Exposure","Slope_mean","MCZ","SAC","Time_high_tide","Time_low_tide","Height_of_tide","Habitat"
"1555",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
"1556",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
"1557",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
"1558",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
"1559",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
"1560",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
"1561",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
"1562",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
"1563",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
"1564",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
