"","GRTS_ID","deployment_ID","Species","Species_latin","MaxN","Time (HMS)","Order","Family","Genus","Functional_group","Simplified_functional_group","Commercial_group","Code","Lat","Lon"
"1061",199,"3145","Ballan_wrasse","Labrus bergylta",2,00:03:00,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.87068","-6.38569"
"1062",199,"3145","Cuckoo_wrasse","Labrus mixtus",1,00:10:33,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.87068","-6.38569"
"1063",199,"3145","Pollack","Pollachius pollachius",1,00:12:02,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.87068","-6.38569"
"1064",199,"3145","Small_spotted_catshark","Scyliorhinus canicula",1,00:13:27,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.87068","-6.38569"
"1065",199,"3145","Spiny_starfish","Marthasterias glacialis",1,00:43:14,"Forcipulatida","Asteriidae","Marthasterias","Other demersal invertebrates","Demersal invertebrates","Other fishes & inverts",123803,"49.87068","-6.38569"
"1066",200,"3025","Cuckoo_wrasse","Labrus mixtus",2,00:32:36,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.93743","-6.26388"
"1067",200,"3025","Nursehound","Scyliorhinus stellaris",1,00:23:04,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays",105814,"49.93743","-6.26388"
"1068",200,"3025","Pollack","Pollachius pollachius",7,00:01:23,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.93743","-6.26388"
"1069",200,"3025","Small_spotted_catshark","Scyliorhinus canicula",1,00:40:15,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.93743","-6.26388"
"1070",200,"3025","Spiny_spider_crab","Maja brachydactyla",1,00:39:20,"Decapoda","Majidae","Maja","Lobsters, crabs","Crustaceans","Crustaceans",107347,"49.93743","-6.26388"
"1071",201,"1047","Ballan_wrasse","Labrus bergylta",2,00:32:00,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.925719","-6.273198"
"1072",201,"1047","Common_urchin","Cyanea lamarckii",1,00:00:59,"Semaeostomeae","Echinidae","Echinus","Cnidaria","","",135302,"49.925719","-6.273198"
"1073",201,"1047","Cotton_spinner","Holothuria forskali",1,00:00:57,"Holothuriida","Holothuriidae","Holothuria","Other demersal invertebrates","Demersal invertebrates","Other fishes & inverts",124501,"49.925719","-6.273198"
"1074",201,"1047","Cuckoo_wrasse","Labrus mixtus",1,00:12:31,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.925719","-6.273198"
"1075",201,"1047","Goldsinny_wrasse","Ctenolabrus rupestris",4,00:02:42,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.925719","-6.273198"
"1076",201,"1047","Leopard_spotted_goby","Thorogobius ephippiatus",1,00:12:35,"Gobiiformes","Gobiidae","Thorogobius","Small demersals (<30 cm)","Demersal fish","Perch likes",126937,"49.925719","-6.273198"
"1077",201,"1047","Lesser_sandeel","Ammodytes tobianus",1,00:09:42,"Trachiniformes","Ammodytidae","Ammodytes","Small demersals (<30 cm)","Demersal fish","Other fishes & inverts",126752,"49.925719","-6.273198"
"1078",201,"1047","Poor_cod","Trisopterus luscus",1,00:08:44,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"49.925719","-6.273198"
"1079",201,"1047","Spiny_starfish","Marthasterias glacialis",3,00:25:28,"Forcipulatida","Asteriidae","Marthasterias","Other demersal invertebrates","Demersal invertebrates","Other fishes & inverts",123803,"49.925719","-6.273198"
"1080",201,"1047","Three_bearded_rockling","Gaidropsarus vulgaris",1,00:37:03,"Gadiformes","Gaidropsaridae","Gaidropsarus","Medium demersal (30 - 89 cm)","Demersal fish","Other fishes & inverts",126458,"49.925719","-6.273198"
"1081",202,"3063","Ballan_wrasse","Labrus bergylta",1,00:06:14,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.898083","-6.41368"
"1082",202,"3063","Common_urchin","Cyanea lamarckii",1,00:01:44,"Semaeostomeae","Echinidae","Echinus","Cnidaria","","",135302,"49.898083","-6.41368"
"1083",202,"3063","Conger_eel","Conger conger",1,00:25:43,"Anguilliformes","Congridae","Conger","Large demersals (>=90 cm)","Demersal fish","Other fishes & inverts",126285,"49.898083","-6.41368"
"1084",202,"3063","Cuckoo_wrasse","Labrus mixtus",3,00:55:31,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.898083","-6.41368"
"1085",202,"3063","Goldsinny_wrasse","Ctenolabrus rupestris",3,00:01:24,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.898083","-6.41368"
"1086",202,"3063","Pollack","Pollachius pollachius",1,00:01:16,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.898083","-6.41368"
"1087",202,"3063","Poor_cod","Trisopterus luscus",1,00:37:19,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"49.898083","-6.41368"
"1088",202,"3063","Rock_cook","Centrolabrus exoletus",3,00:02:20,"Labriformes","Labridae","Centrolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126961,"49.898083","-6.41368"
"1089",202,"3063","Small_spotted_catshark","Scyliorhinus canicula",3,00:19:24,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.898083","-6.41368"
"1090",204,"3188","Ballan_wrasse","Labrus bergylta",1,00:53:23,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.89744","-6.31482"
